location,style,claim_text,numeric_tokens,risk_tags,evidence_grade,decision,replacement
paragraph:171,Normal,"0.10阈值的确定综合考量了三方面因素：一是统计惯例参考，国民经济行业分类中，当某一行业业务占比达到10%以上时，通常将其纳入该行业统计范畴；二是ROC曲线分析，基于300家人工标注样本绘制ROC曲线，Youden指数最大点对应的阈值为0.09，四舍五入取0.10便于实际应用；三是专家共识，邀请5名体育产业统计专家进行阈值研讨，一致认为10%的门槛既符合统计工作直觉，又能有效过滤""偶然涉及体育业务""的噪声企业。敏感性分析表明，阈值在0.08-0.12区间内调整时，识别结果的F1值（F1-score）波动小于3%，阈值选择具有较好的稳定性。",0.10;10%;300;0.09;0.10;5;10%;0.08;0.12;3%,evaluation,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
paragraph:172,Normal,"本实验旨在回答""体育企业判定阈值为何设定为0.10""这一问题。基于300家人工标注验证样本，绘制ROC曲线并计算AUC值。通过在0.05-0.20区间内设置6组阈值进行对比实验，各阈值下的性能指标见表3-3：",0.10;300;0.05;0.20;6;3;3,evaluation,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
paragraph:173,Normal,表3-1 不同阈值下的模型性能对比（n=300）,3;1;300,evaluation,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
paragraph:175,Normal,实验结果显示，ROC曲线下面积AUC=0.91，表明模型具有较好的区分能力。Youden指数（J=Sensitivity+Specificity-1）在阈值0.09处达到最大值0.67。综合考虑精确率（Precision）与召回率（Recall）的平衡以及统计工作实操性，最终选取0.10作为体育企业判定阈值，该阈值下F1值（F1-score）达到0.87，精确率与召回率均处于较高水平。,0.91;1;0.09;0.67;0.10;0.87,evaluation,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
paragraph:176,Normal,"经DeLong法检验，AUC的95%置信区间为[0.87, 0.95]，表明模型具有较好的区分能力。",95%;0.87;0.95,evaluation,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
paragraph:178,Normal,图3-2  SportRatio模型ROC曲线（AUC = 0.91，n = 300）（数据来源：本研究整理）,3;2;0.91;300,evaluation,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
paragraph:179,Heading 2,3.3 多维度比重测算模型,3.3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:180,Heading 3,3.3.1 模型考量,3.3;1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:183,Normal,（1）指标间的相互独立性。,1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:185,Normal,（2）权重的归一化约束。,2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:186,Normal,"四个维度的权重之和为1（0.40+0.25+0.25+0.10=1.00），满足线性加权模型的归一化条件，输出结果取值范围为[0,1]区间，具有明确的业务占比解释意义，便于理解和应用。",1;0.40;0.25;0.25;0.10;1.00;0;1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:187,Normal,（3）可解释性与实用性的平衡。,3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:189,Heading 3,3.3.2 模型构建及设计,3.3;2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:200,Normal,权重分配遵循“文本内容为主（0.65），代码先验为辅（0.25），多元程度微调（0.10）”的设计原则，确保了模型在缺乏营收真值标签情况下的合理性和可解释性。,0.65;0.25;0.10,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:202,Normal,图3-3  SportRatio计算流程图（数据来源：本研究整理）,3;3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:203,Heading 3,3.3.3 四大维度,3.3;3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:205,Normal,（1）W1——业务范围占比（权重0.40）：,1;0.40,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:210,Normal,例如，企业共识别5条有效业务线，其中2条为体育相关业务，则该企业。,5;2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:211,Normal,(2) W2——关键词密度（权重0.25）：,2;0.25,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:213,Normal,"归一化尺度设定为10的依据为：基于300家人工标注样本的统计分析，企业平均命中体育关键词数量约为9.3个，因此取10作为归一化基准值，使大部分企业的关键词密度指标落在[0,1]区间内，同时保留少数高频命中企业的区分度。",10;300;9.3;10;0;1,evaluation,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
paragraph:214,Normal,该指标用于量化企业业务文本中体育内容的语义聚焦程度与描述详实度，规避仅依靠业务线数量造成的测算偏差，通过归一化处理将数值映射至0-1区间，计算公式如下：,0;1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:216,Normal,其中：为文本命中的体育专业关键词总数，为文本分词后有效词汇总数，引入常数10作为归一化系数，并通过上限截断将结果约束在合理区间。企业对体育业务的描述越细致、专业关键词越密集，代表体育业务经营深耕程度越高,10,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:217,Normal,例如，文本“体育赛事运营，专业马拉松组织，运动品牌推广”命中3个体育关键词、总词数6，计算得；文本“体育用品销售”命中1个体育关键词、总词数3，计算得，二者深耕程度差异显著。,3;6;1;3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:218,Normal,（3）W3——行业代码权重（权重0.25）：,3;0.25,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:222,Normal,（4）W4——业态覆盖度（权重0.10）：,4;0.10,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:225,Normal,其中：为企业实际覆盖的体育业态数量，9为本文界定的体育产业总业态类别数。相较于单一业态经营企业，同时布局赛事、培训、用品、休闲等多业态的企业，体育业务深耕程度更高，通过该指标可实现精细化权重微调。,9,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:228,Normal,（1）和为验证业务线数量占比与实际业务参与程度的相关性，本研究对300家人工标注样本进行了统计检验：将人工估算的体育业务比重作为因变量，业务线数量占比作为自变量进行回归分析，结果显示两者Pearson相关系数为0.72（p<0.001），表明在无营收数据条件下，业务线数量占比是体育业务规模的有效代理变量。同时，结合关键词密度、行业代码权重、业态覆盖度等其他三个维度进行综合校准，进一步降低了单一指标的估算偏差。,1;300;0.72;0.001,evaluation,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
paragraph:229,Normal,（2）9大业态分类严格对标《国家体育产业统计分类（2019）》的官方分类体系，该分类将体育产业划分为体育管理活动、体育竞赛表演活动、体育健身休闲活动、体育场地和设施管理、体育经纪与代理、广告与会展、体育用品及相关产品制造、体育用品及相关产品销售、贸易代理与出租、体育场地设施建设、体育教育与培训、体育传媒与信息服务等大类[2]。本研究结合工商登记文本的表达特点，将其整合为9类便于文本识别的业态标签，既保证了与官方统计体系的衔接性，又提升了文本匹配的实操性。,2;9;2019;2;9,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:230,Normal,"（3）以下实验旨在回答""为何业务线数量可以作为业务规模的近似""这一问题。",3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:231,Normal,"采用Shapiro-Wilk检验对两个变量进行正态性检验，结果显示业务线占比（W=0.94, p>0.05）和人工估算占比（W=0.93, p>0.05）均近似服从正态分布，因此满足Pearson相关分析的前提假设。",0.94;0.05;0.93;0.05,evaluation,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
paragraph:232,Normal,为进一步验证业务线数量占比与人工估算业务占比之间的一致性，将300家样本按业务线占比分层统计，各区间的模型估算值与人工估算值对比如下：,300,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:233,Normal,表3-2 业务线占比分层验证统计表（n=300）,3;2;300,evaluation,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
paragraph:234,Normal,分层统计结果显示，Pearson相关系数r=0.72（p<0.001），表明业务线数量占比与人工估算的体育业务比重之间存在显著正相关。决定系数R²=0.52，说明业务线占比可解释约52%的业务占比变异。在10%-70%的主体区间内，相对误差均低于5%，验证了该代理变量的有效性。两端区间（极低/极高占比）误差相对较大，因此引入关键词密度、行业代码权重、业态覆盖度三个维度进行联合校准，以进一步降低估算偏差。,0.72;0.001;0.52;52%;10%;70%;5%,evaluation,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
paragraph:236,Normal,图3-4  SportRatio四维权重构成环形图（数据来源：本研究整理）,3;4,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:238,Normal,图3-5  业务线占比与人工估算占比散点图（Pearsonr = 0.72，n = 300）（数据来源：本研究整理）,3;5;0.72;300,evaluation,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
paragraph:239,Heading 3,3.3.4 权重确定方法与验证,3.3;4,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:240,Normal,承接3.3.1节提出的线性加权模型框架，本节采用层次分析法（AHP）与实证校准相结合的方法，系统阐述四维权重的确定过程与验证结果。,3.3;1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:242,Normal,（1）构建层次结构模型。,1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:243,Normal,将SportRatio比重测算目标分解为4个一级指标（业务范围占比、关键词密度、行业代码权重、业态覆盖度），形成目标层—准则层—指标层的三层结构，为权重判断提供清晰的分析框架。,4,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:244,Normal,（2）专家咨询与判断矩阵构建。,2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:245,Normal,邀请5名体育产业领域专家（2名高校体育产业研究教授、2名统计部门资深业务人员、1名体育产业协会专家），采用Saaty 1—9标度法对各指标相对重要性进行两两比较打分。对每位专家的判断矩阵进行算术平均，形成综合判断矩阵，以降低个体偏差的影响。[17],5;2;2;1;1;9;17,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:246,Normal,（3）特征向量计算与一致性检验。,3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:247,Normal,采用和积法计算判断矩阵的最大特征值λmax和对应的特征向量，经归一化得到初始权重向量。计算一致性指标CI = (λmax − n)/(n − 1)，查表得4阶矩阵的平均随机一致性指标RI = 0.90，最终一致性比率CR = CI/RI = 0.008 < 0.1，判断矩阵通过一致性检验，说明专家打分逻辑自洽。,1;4;0.90;0.008;0.1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:248,Normal,（4）敏感性分析验证。,4,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:249,Normal,对初始权重进行±5%、±10%、±20%的扰动测试，观察输出结果的稳定性。结果显示，权重在±10%范围内变动时，体育企业识别数量波动小于3%，F1值（F1-score）波动小于2%，表明权重设置具有较好的鲁棒性，不会因权重小幅调整导致结果剧烈变化。,5%;10%;20%;10%;3%;2%,evaluation,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
paragraph:250,Normal,（5）抽样校准微调。,5,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:251,Normal,基于300 家人工核验企业样本开展回归校准，对AHP初始权重进行微调优化。样本覆盖9 大业态、包含直接体育代码与跨界经营企业两类主体，以人工复核的业务占比判定结果作为校准基准（人工验证数据集的构建方法详见3.3.5节）。微调后最终权重为：业务范围占比W1 = 0.40、关键词密度W2 = 0.25、行业代码权重W3 = 0.25、业态覆盖度W4 = 0.10。该权重既保持了AHP方法的理论基础，又通过实证数据校准提升了实际适用性。,300;9;3.3;5;0.40;0.25;0.25;0.10,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:252,Normal,需要说明的是，上述四维权重的最终取值（0.40、0.25、0.25、0.10）是在AHP理论框架基础上，结合专家经验与实证校准综合确定的，具有一定的经验性。权重数值并非唯一最优解，敏感性分析已验证在±20%范围内结果稳定，因此权重的微调不影响整体结论。,0.40;0.25;0.25;0.10;20%,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:254,Normal,（1）业务范围占比（W1）权重最高（0.40），因为工商登记文本中业务线数量占比与企业实际经营重心具有较强的统计正相关；,1;0.40,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:255,Normal,（2）关键词密度（W2）与行业代码权重（W3）各占0.25，分别从文本语义和制度标准两个维度提供支撑，形成“文本+代码”的双通道互补；,2;0.25,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:256,Normal,（3）业态覆盖度（W4）权重最低（0.10），仅作为多元化程度的微调因子，避免过度放大业态数量的影响。,3;0.10,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:257,Heading 3,3.3.5 人工验证数据集,3.3;5,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:258,Normal,"为验证模型识别效果并校准权重参数，本研究从76,687家全样本企业中分层随机抽取300家构建人工验证数据集，由两名具备体育产业统计经验的研究人员独立开展业务占比人工判定，作为模型验证与权重校准的真值基准。","76,687;300",,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:260,Normal,（1）按业态类型分层，覆盖体育用品制造、健身休闲、体育竞赛表演、体育场地服务、体育培训、体育传媒、电子竞技、体育科技服务、其他相关产业共9大业态，每业态抽取不少于25家；,1;9;25,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:261,Normal,（2）按行业代码属性分层，包含直接体育代码企业（约40%）、间接相关代码企业（约30%）和无关代码企业（约30%）三类，确保样本既覆盖传统体育企业，也包含跨界经营主体。,2;40%;30%;30%,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:262,Normal,标注标准依据《国家体育产业统计分类（2019）》制定，标注内容包括：是否属于体育企业、体育业务线数量、估算体育业务占比、所属业态类别四项。标注完成后进行交叉校验，不一致样本由第三名研究人员仲裁。经计算，两名标注者的Cohen's Kappa系数为0.86，表明标注一致性良好。该300家验证数据集同时服务于AHP权重校准和模型精确率评估两个环节。,2019;0.86;300,evaluation,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
paragraph:264,Normal,表3-3 人工标注一致性混淆矩阵（n=300）,3;3;300,evaluation,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
paragraph:266,Normal,根据混淆矩阵计算：观察一致率，机遇一致率，，表明两名标注员的一致性良好（标准：0.81-1.00为几乎完全一致）。不一致样本由第三名研究人员仲裁确定最终标注结果。,0.81;1.00,evaluation,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
paragraph:268,Normal,图3-6  人工标注一致性混淆矩阵热力图（Kappa = 0.86，n = 300）（数据来源：本研究整理）,3;6;0.86;300,evaluation,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
paragraph:269,Heading 2,3.4 跨界经营类型识别,3.4,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:271,Normal,（1）纯跨界——行业代码无体育关联，但文本命中体育关键词（由文本通道独立发现），置信度0.60，识别出951家；,1;0.60;951,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:272,Normal,（2）潜在跨界——行业代码间接相关，文本确认含体育业务，置信度0.70，识别出56家；,2;0.70;56,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:273,Normal,（3）多元经营——行业代码直接体育，但存在多条非体育业务线，说明企业在体育主业之外兼营其他业务。,3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:275,Normal,图3-7跨界经营类型概览（数据来源：本研究整理）,3;7,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:276,Heading 2,3.5 关键技术与模型选择分析,3.5,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:279,Normal,图3-8 体育企业识别全量概览（数据来源：本研究整理）,3;8,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:280,Normal,（1）冷启动问题：体育产业统计领域缺乏大规模、高质量的标注校准数据（即需要人工标注数万条业务文本的体育归属），直接训练深度学习模型面临严重的冷启动困难。规则匹配方法仅需构建和维护体育词典（271词），即可在零标注数据条件下部署运行。,1;271,evaluation,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
paragraph:281,Normal,"（2）计算效率：jieba分词+词典匹配的单条处理时间为0.16毫秒（6,325条/秒），全量76,687家企业仅需约12秒完成。同等规模数据下的BERT推理需要数十分钟（GPU）到数小时（CPU），在年度普查或月度监测等需要快速响应的场景中，效率差异显著。","2;0.16;6,325;76,687;12",performance,D,remove,当前材料未提供可复核的压力测试原始记录，因此不报告平台性能数值。
paragraph:282,Normal,（3）维护更新灵活性：体育产业的新业态不断涌现（如飞盘、匹克球等新兴运动），规则匹配方法只需更新词典（添加新词条），无需重新训练模型或收集标注数据。这种“热更新”能力对于产业统计的长期运维至关重要。,3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:284,Heading 3,3.5.1 候选模型对比与选择依据,3.5;1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:286,Normal,（1）基于规则的词典匹配法（本研究选用）,1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:288,Normal,（1）零标注冷启动能力：无需任何标注校准数据，仅需领域词典即可部署；,1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:289,Normal,（2）全可解释性：每条识别结果均有关键词证据链，满足政府统计的审计要求；,2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:290,Normal,"（3）高效率：6,325条/秒的处理速度适配大规模全样本扫描；","3;6,325",performance,D,remove,当前材料未提供可复核的压力测试原始记录，因此不报告平台性能数值。
paragraph:291,Normal,（4）热更新能力：新业态可通过词典更新即时覆盖。,4,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:294,Normal,（2）TF-IDF + 传统机器学习（SVM/朴素贝叶斯）,2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:299,Normal,（3）BERT等预训练语言模型微调,3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:304,Normal,（4）少样本/零样本学习方法,4,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:309,Normal,表3-4 四类文本分类方法综合对比表,3;4,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:311,Normal,图3-9 四类文本分类方法多维性能对比雷达图（数据来源：本研究整理）,3;9,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:312,Heading 3,3.5.2 模型验证方法体系,3.5;2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:314,Normal,（1）技术性能,1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:317,Normal,（2）应用适配,2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:320,Normal,（3）运维成本,3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:323,Normal,基于上述评价体系，本研究采用层次分析法（AHP）确定各指标权重，其中技术性能维度权重0.50（精确率0.20、覆盖率0.15、效率0.10、粒度0.05），应用适配维度权重0.30（可解释性0.15、冷启动0.10、兼容性0.05），运维成本维度权重0.20。综合评分结果显示，规则匹配法在体育产业统计场景下的综合得分最高，为本阶段的较好实用方案。,0.50;0.20;0.15;0.10;0.05;0.30;0.15;0.10;0.05;0.20,evaluation,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
paragraph:325,Normal,图3-10 层次分析法（AHP）权重分布示意图（数据来源：本研究整理）,3;10,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:326,Heading 3,3.5.3 关键参数优化与敏感性分析,3.5;3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:327,Normal,关于关键参数的敏感性分析与优化，详见3.3.4节权重确定方法中的敏感性分析验证部分。结果表明，四维权重在±20%范围内波动时，F1值（F1-score）变化小于0.02，模型具有较好的鲁棒性。,3.3;4;20%;0.02,evaluation,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
paragraph:329,Heading 2,4.1 实验设计,4.1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:331,Normal,"（1）实验一——模型有效性对比实验：在全量76,687家企业上，对比传统行业代码法（仅基于19个直接体育代码的二值判定）与NLP融合识别法（文本+代码双通道，四维度加权，阈值10%）在识别覆盖率、跨界发现能力、比重精细度和新兴业态覆盖四个维度上的表现。","1;76,687;19;10%",,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:332,Normal,表4-1 传统行业代码法与NLP融合识别法全维度对比实验结果,4;1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:334,Normal,（2）实验二 —— 业态结构分析实验：基于融合模型识别出的大部分体育企业样本，按照九大体育业态完成分类统计，测算各业态产出规模、企业数量、跨界经营率，区分成熟业态与新兴业态的统计适配差异，解释模型识别效果提升的内在结构原因。,2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:335,Normal,（3）实验三——空间分布分析实验：基于企业名称中的行政区划分信息，提取区域归属，计算CR3/CR5集中度、HHI指数和基尼系数等多重空间集聚指标，揭示体育产业的空间分布规律。,3,concentration,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:336,Normal,（4）实验四——置信度与鲁棒性分析实验：对识别结果按置信度分层，分析各层级的识别依据分布，评估模型在不同判定场景下的稳健性。,4,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:337,Heading 3,4.1.1 可视化分析,4.1;1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:339,Normal,(1)识别结果韦恩图：,1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:340,List Paragraph,采用双集合韦恩图直观对比两类方法的企业识别样本规模：传统行业代码法共识别体育企业 8016 家，NLP 融合识别法共识别 8950 家。二者交集为两种方法同时识别出的企业共 7999 家；仅由 NLP 融合法识别的独有样本共 951 家，大部分属于跨界经营体育主体；仅传统行业代码法识别、文本无体育关键词的样本仅 17 家，多为企业经营范围已发生变更、工商文本填报过于简略的失效样本。,8016;8950;7999;951;17,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:341,List Paragraph,韦恩图清晰量化了融合识别模型的增量识别价值：相较传统行业代码统计方式，本方法体育企业识别覆盖率提升 11.7%，新增识别样本几乎大部分为传统统计体系难以捕捉的跨界经营主体。,11.7%,,A/B,keep,与2026-08-01正式复算快照一致。
paragraph:343,Normal,图4-1 传统法 vs NLP融合法识别结果韦恩图（数据来源：本研究整理）,4;1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:344,Normal,(2) 分业态覆盖率对比柱状图：,2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:345,List Paragraph,以研究划定的 9 大体育业态为横轴，识别企业数量为纵轴，构建分组并列柱状图，横向对比两类方法在不同细分业态下的识别覆盖能力。图表结果显示：在体育用品、健身休闲、体育场馆等发展成熟的传统业态中，两种方法识别规模差异极小，误差低于 5%；但针对电子竞技、体育传媒、体育彩票等新兴融合业态，两类方法识别效果呈现显著 “剪刀差”—— 融合法识别覆盖率分别达 91%、94%、55%，而传统行业代码法覆盖率均不足 2%，识别能力存在断崖式差距。,9;5%;91%;94%;55%;2%,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:348,Normal,图4-2 分业态覆盖率对比柱状图（数据来源：本研究整理）,4;2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:349,Normal,(3) 跨界经营类型桑基图：,3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:351,List Paragraph,图表直观呈现传统统计长期遗漏的 “隐形产业带”：共有 951 家行业代码归属于无关行业的企业，经文本语义识别后被判定为体育经营主体，该部分跨界经营企业较为脱离原有行业代码分类体系，仅依靠 NLP 文本解析才能实现有效捕捉。,951,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:353,Normal,图4-3 跨界经营类型桑基图（数据来源：本研究整理）,4;3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:354,Heading 3,4.1.1 实验验证方法,4.1;1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:356,Normal,（1）识别效果类指标,1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:361,Normal,（2）计算效率类指标,2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:364,Normal,"· 全量处理时间：处理76,687家全量企业所需的总时长，反映大规模应用的可行性。","76,687",,A/B,keep,与2026-08-01正式复算快照一致。
paragraph:365,Normal,（3）应用价值类指标,3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:368,Normal,表4-2 模型综合评价指标体系表,4;2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:369,Heading 3,4.1.2 实验数据与基线方法,4.1;2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:370,Normal,"实验采用76,687家企业全样本数据集，数据来源于合作单位提供的企业工商登记信息（已脱敏）。为保证实验结果的客观性和可比性，设置以下基线方法进行对比：","76,687",,A/B,keep,与2026-08-01正式复算快照一致。
paragraph:371,Normal,（1）基线一：传统行业代码法。仅依据GB/T 4754-2017行业代码，匹配19个直接体育类代码即判定为体育企业，输出二值结果。,1;4754;2017;19,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:372,Normal,（2）基线二：纯文本匹配法。仅基于体育关键词词典进行文本匹配，不考虑行业代码，命中关键词即判定为体育企业。,2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:373,Normal,"（3）基线三：TF-IDF + SVM分类法。使用TF-IDF提取文本特征，训练SVM分类器进行体育企业判定（需使用1,000条标注数据训练）。","3;1,000",,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
